Incident ID,Incident Date,Address,City Or County,State,Full Address,Latitude,Longitude,Total_Killed,Total_Injured
1962686,27-Mar-21,Belmont Ave,River Grove,Illinois,"Belmont Ave, River Grove, Illinois",41.9374525,-87.8398751,1,3
1963052,27-Mar-21,500 block of N Leamington Ave,Chicago,Illinois,"500 block of N Leamington Ave, Chicago, Illinois",41.8894537,-87.7544788,0,4
1962934,27-Mar-21,Dr Martin Luther King Jr Dr and Shady Dr,Yazoo City,Mississippi,"Dr Martin Luther King Jr Dr and Shady Dr, Yazoo City, Mississippi",32.8641025,-90.4112479,0,6
1961753,26-Mar-21,2515 W 79th St,Chicago,Illinois,"2515 W 79th St, Chicago, Illinois",41.7499036,-87.6860407,1,7
1962890,26-Mar-21,500 block of Arrington Ave,Memphis,Tennessee,"500 block of Arrington Ave, Memphis, Tennessee",35.1720323,-90.0382565,3,2
1962562,26-Mar-21,1900 block of Pacific Ave,Virginia Beach,Virginia,"1900 block of Pacific Ave, Virginia Beach, Virginia",36.8471631,-75.9761366,0,8
1962507,26-Mar-21,1080 N Delaware Ave,Philadelphia,Pennsylvania,"1080 N Delaware Ave, Philadelphia, Pennsylvania",39.965831,-75.1327405,0,7
1960442,23-Mar-21,2860 Cumberland Mall SE,Atlanta,Georgia,"2860 Cumberland Mall SE, Atlanta, Georgia",33.8799947,-84.4680649,0,4
1960283,23-Mar-21,1st Ave SW and 15th St,Aliceville,Alabama,"1st Ave SW and 15th St, Aliceville, Alabama",33.1277613,-88.1669065,2,2
1958652,22-Mar-21,3600 Table Mesa Dr,Boulder,Colorado,"3600 Table Mesa Dr, Boulder, Colorado",39.9835951,-105.2511107,10,1
1959549,22-Mar-21,13300 block of Davidson St,Detroit,Michigan,"13300 block of Davidson St, Detroit, Michigan",42.4236022,-83.0238677,1,3
1957188,20-Mar-21,10266 North Fwy,Houston,Texas,"10266 North Fwy, Houston, Texas",29.9140869,-95.4117311,0,5
1957226,20-Mar-21,10333 Technology Blvd,Dallas,Texas,"10333 Technology Blvd, Dallas, Texas",32.8632042,-96.8979081,1,7
1957252,20-Mar-21,4234 Germantown Ave,Philadelphia,Pennsylvania,"4234 Germantown Ave, Philadelphia, Pennsylvania",40.018908,-75.155956,1,5
1956081,18-Mar-21,750 E Powell Blvd,Gresham,Oregon,"750 E Powell Blvd, Gresham, Oregon",45.4980457,-122.4232841,0,4
1955948,18-Mar-21,2400 Annette St,New Orleans,Louisiana,"2400 Annette St, New Orleans, Louisiana",29.9814989,-90.0638796,0,4
1956001,17-Mar-21,Oro Ave and E Main St,Stockton,California,"Oro Ave and E Main St, Stockton, California",37.9539772,-121.2342465,0,5
1954379,16-Mar-21,6468 Hwy 92,Acworth,Georgia,"6468 Hwy 92, Acworth, Georgia",34.0881409,-84.5808034,8,1
1954950,16-Mar-21,6215 W Elm St,Phoenix,Arizona,"6215 W Elm St, Phoenix, Arizona",33.5059401,-112.1912943,4,1
1953309,15-Mar-21,2300 block of N Harding St,Indianapolis,Indiana,"2300 block of N Harding St, Indianapolis, Indiana",39.7994816,-86.1875526,1,4
1953202,14-Mar-21,10101 US-92,Tampa,Florida,"10101 US-92, Tampa, Florida",27.9953528,-82.3349734,0,4
1952662,14-Mar-21,2600 block of E 77th St,Chicago,Illinois,"2600 block of E 77th St, Chicago, Illinois",41.755633,-87.561257,0,4
1952281,14-Mar-21,6798 block of S South Chicago Ave,Chicago,Illinois,"6798 block of S South Chicago Ave, Chicago, Illinois",41.7708355,-87.6127267,2,13
1952151,13-Mar-21,917 Flushing Ave,Brooklyn,New York,"917 Flushing Ave, Brooklyn, New York",40.7024045,-73.9361446,0,5
1951681,13-Mar-21,200 block of Ring Rd,Orlando,Florida,"200 block of Ring Rd, Orlando, Florida",28.5387883,-81.4513092,1,3
1952161,13-Mar-21,300 block of N Randolph St,Indianapolis,Indiana,"300 block of N Randolph St, Indianapolis, Indiana",39.7704942,-86.128327,4,1
1951738,13-Mar-21,5100 block of Richmond Henrico Tpke,Richmond,Virginia,"5100 block of Richmond Henrico Tpke, Richmond, Virginia",37.6017766,-77.42488,2,4
1951476,12-Mar-21,100 block of Huffman St,Greensboro,North Carolina,"100 block of Huffman St, Greensboro, North Carolina",36.0745158,-79.7649424,1,3
1951383,12-Mar-21,7408 Cameron Rd,Austin,Texas,"7408 Cameron Rd, Austin, Texas",30.3297826,-97.6906359,0,4
1950327,11-Mar-21,7810 Two Notch Rd,Columbia,South Carolina,"7810 Two Notch Rd, Columbia, South Carolina",34.0812206,-80.9411802,1,4
1950346,11-Mar-21,Co Rd 56,Ohkay Owingeh (Chamita),New Mexico,"Co Rd 56, Ohkay Owingeh (Chamita), New Mexico",36.0700343,-106.1023748,1,3
1950471,11-Mar-21,1400 block of N 76th St,Philadelphia,Pennsylvania,"1400 block of N 76th St, Philadelphia, Pennsylvania",39.972905,-75.2661038,1,3
1949977,10-Mar-21,6300 Ranchester Dr,Houston,Texas,"6300 Ranchester Dr, Houston, Texas",29.7096843,-95.5458416,3,1
1948233,8-Mar-21,US-19 ALT and Drew St,Clearwater,Florida,"US-19 ALT and Drew St, Clearwater, Florida",27.9681608,-82.7959132,1,3
1948470,7-Mar-21,607 Wallace Dr,Edwards,Mississippi,"607 Wallace Dr, Edwards, Mississippi",32.3386763,-90.5968859,0,4
1947241,6-Mar-21,Countryside Dr and Littlejohn Dr,Yuba City,California,"Countryside Dr and Littlejohn Dr, Yuba City, California",39.1254847,-121.6392332,2,3
1945999,6-Mar-21,200 block of Shads Ford Blvd,Fayetteville,North Carolina,"200 block of Shads Ford Blvd, Fayetteville, North Carolina",35.0798759,-79.0062215,1,4
1946730,6-Mar-21,SW 142nd Ave and SW 294th St,Miami,Florida,"SW 142nd Ave and SW 294th St, Miami, Florida",25.4941698,-80.420478,1,2
1946991,5-Mar-21,600 block of N Long Beach Blvd,Compton,California,"600 block of N Long Beach Blvd, Compton, California",33.9004259,-118.2082148,1,4
1944507,4-Mar-21,3900 Martin Luther King Jr Ave SW,Washington,District of Columbia,"3900 Martin Luther King Jr Ave SW, Washington, District of Columbia",38.8324029,-77.0087428,0,5
1943986,3-Mar-21,2105 Buffalo Rd,Erie,Pennsylvania,"2105 Buffalo Rd, Erie, Pennsylvania",42.133756,-80.0295015,2,3
1941382,28-Feb-21,3600 block of Idlewild Ave,Cincinnati,Ohio,"3600 block of Idlewild Ave, Cincinnati, Ohio",39.1449397,-84.4728071,3,3
1941669,28-Feb-21,1205 W Chicago Ave,East Chicago,Indiana,"1205 W Chicago Ave, East Chicago, Indiana",41.6288662,-87.4868211,0,4
1940791,28-Feb-21,21 S Little Creek Rd,Dover,Delaware,"21 S Little Creek Rd, Dover, Delaware",39.1577267,-75.5086075,0,4
1941647,28-Feb-21,437 Talbert Rd,Mccormick,South Carolina,"437 Talbert Rd, Mccormick, South Carolina",33.9078323,-82.3120271,0,4
1941444,28-Feb-21,4914 Mansfield Rd,Shreveport,Louisiana,"4914 Mansfield Rd, Shreveport, Louisiana",32.4642785,-93.7760819,0,5
1941210,28-Feb-21,13484 Northwest Fwy,Houston,Texas,"13484 Northwest Fwy, Houston, Texas",29.8537969,-95.5090831,0,4
1943271,27-Feb-21,1200 block of 7th St S,Columbus,Mississippi,"1200 block of 7th St S, Columbus, Mississippi",33.4840314,-88.4245185,0,4
1940190,27-Feb-21,Pattison-Tillman Rd,Pattison,Mississippi,"Pattison-Tillman Rd, Pattison, Mississippi",31.8917682,-90.8859682,2,3
1940069,26-Feb-21,8708 Beechnut St,Houston,Texas,"8708 Beechnut St, Houston, Texas",29.690934,-95.538361,1,5
1939789,26-Feb-21,4700 block of Paige St,Baton Rouge,Louisiana,"4700 block of Paige St, Baton Rouge, Louisiana",30.5169837,-91.1447315,0,4
1939958,26-Feb-21,841 S 45th St,San Diego,California,"841 S 45th St, San Diego, California",32.6971111,-117.09781,1,3
1934704,21-Feb-21,1615 1st St,Kennett,Missouri,"1615 1st St, Kennett, Missouri",36.2358726,-90.0363721,1,4
1935235,21-Feb-21,Thomas Smith Ln and Bay Rd,Teachey,North Carolina,"Thomas Smith Ln and Bay Rd, Teachey, North Carolina",34.812221,-77.9641444,0,4
1934225,20-Feb-21,2912 Swede Rd,Norristown (East Norriton),Pennsylvania,"2912 Swede Rd, Norristown (East Norriton), Pennsylvania",40.1460627,-75.3162552,1,4
1934077,20-Feb-21,6719 Airline Dr,Metairie,Louisiana,"6719 Airline Dr, Metairie, Louisiana",29.978333,-90.2082093,3,2
1933975,20-Feb-21,1000 block of Teller Ave,Grand Junction,Colorado,"1000 block of Teller Ave, Grand Junction, Colorado",39.0754035,-108.5559559,1,3
1934181,20-Feb-21,1100 block of S Grand Ave W,Springfield,Illinois,"1100 block of S Grand Ave W, Springfield, Illinois",39.7869007,-89.6699773,1,4
1932479,18-Feb-21,2047 N Foster Dr,Baton Rouge,Louisiana,"2047 N Foster Dr, Baton Rouge, Louisiana",30.4673937,-91.1399873,1,3
1931288,17-Feb-21,5597 Old York Rd,Philadelphia,Pennsylvania,"5597 Old York Rd, Philadelphia, Pennsylvania",40.03888,-75.144406,0,8
1930463,16-Feb-21,2968 Emerson Ave S,Saint Petersburg,Florida,"2968 Emerson Ave S, Saint Petersburg, Florida",27.7654629,-82.6737226,3,1
1928557,13-Feb-21,3rd St and Quesada Ave,San Francisco,California,"3rd St and Quesada Ave, San Francisco, California",37.7331886,-122.3912154,0,6
1928594,13-Feb-21,3800 block of N Sherman Dr,Indianapolis,Indiana,"3800 block of N Sherman Dr, Indianapolis, Indiana",39.8253431,-86.102709,0,4
